State,District,Year,Women age group 15 to 49 years who are anaemic (%) (UOM:%(Percentage)) |Scaling Factor:1,Married women age group 15 to 49 years use any family planning methods (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from either vaccination card or mothers recall (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from vaccination card only (%) (UOM:%(Percentage)) |Scaling Factor:1,Children under 5 years who are stunted (height-for-age) (%) (UOM:%(Percentage)) |Scaling Factor:1,Households using clean fuel for cooking (%) (UOM:%(Percentage)) |Scaling Factor:1,Institutional births (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households that use an improved sanitation facility (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households with electricity (%) (UOM:%(Percentage)) |Scaling Factor:1,"Population and household profile-sex ratio of the total population (females per 1,000 males) (UOM:Number) |Scaling Factor:1",Women age group 15 to 49 years who are literate (%) (UOM:%(Percentage)) |Scaling Factor:1,Women with 10 or more years of schooling (%) (UOM:%(Percentage)) |Scaling Factor:1
Chhattisgarh,Surajpur,"Calendar Year (Jan - Dec), 2019",60.7,59.8,78.7,85,27.6,24,85.9,75.4,98.7,950,66.9,30.7
Chhattisgarh,Surguja,"Calendar Year (Jan - Dec), 2019",58.3,55.2,84.6,89,29.4,24.5,85.3,75.8,99.3,1036,71,37.7
Chhattisgarh,Uttar Bastar Kanker,"Calendar Year (Jan - Dec), 2019",65.2,74.7,89.5,97,24.8,25.9,94.1,80.5,99.4,1030,77.2,40.3
Delhi,Central,"Calendar Year (Jan - Dec), 2019",44.6,68.5,82.1,94.1,33.5,98.8,92.2,77,99.8,901,83.5,57.1
Delhi,East,"Calendar Year (Jan - Dec), 2019",42.5,81.9,74.6,80.9,35.2,99.1,92.6,78,99.5,885,83,57.2
Delhi,New Delhi,"Calendar Year (Jan - Dec), 2019",56,77,82.2,87.5,27.4,98.3,91.8,69.4,100,859,81.8,57.9
Delhi,North,"Calendar Year (Jan - Dec), 2019",47.2,57.4,66.2,76.2,25,98.1,89.7,70.2,99.8,905,80,53.9
Delhi,North East,"Calendar Year (Jan - Dec), 2019",45.9,79,86.4,83.2,38.7,99.7,89.2,89.5,99.9,906,83.8,59.8
Delhi,North West,"Calendar Year (Jan - Dec), 2019",51.4,80,78.3,78,26.9,99.1,94,88.2,100,904,85,62.9
Delhi,Shahdara,"Calendar Year (Jan - Dec), 2019",49.2,78,82.5,75.5,32.9,99.8,95.8,83.4,99.9,935,83.9,58.4
Delhi,South,"Calendar Year (Jan - Dec), 2019",46.2,83.2,86.2,85.1,33.4,97.7,82,89.5,99.9,922,86.1,61.6
Delhi,South East,"Calendar Year (Jan - Dec), 2019",47.9,84.1,64.6,62.3,21.7,99.1,96.1,83.8,99.7,949,84.9,65.5
Delhi,South West,"Calendar Year (Jan - Dec), 2019",56.4,78.5,77.3,74.2,27.1,99.3,92.5,86.2,100,881,87.5,68.4
Delhi,West,"Calendar Year (Jan - Dec), 2019",57.2,75.4,67.5,78.4,36.1,99,91.8,76.8,100,953,82.3,56.3
Goa,North Goa,"Calendar Year (Jan - Dec), 2019",40,63.1,78.6,87.5,24.2,96.7,99.6,87.7,100,1017,92.4,72
Goa,South Goa,"Calendar Year (Jan - Dec), 2019",37.6,75,0,0,28.3,96.2,100,88.2,100,1040,93.8,70.9
Gujarat,Ahmadabad,"Calendar Year (Jan - Dec), 2019",63.7,79,65.2,76.5,35.5,89.7,94.5,86.4,99.5,928,81.5,42.7
Gujarat,Amreli,"Calendar Year (Jan - Dec), 2019",50,62.2,60.1,68.1,35.3,65.6,90.1,73.3,99.6,984,77.2,27.2
Gujarat,Anand,"Calendar Year (Jan - Dec), 2019",66.4,53.7,77,85.4,38.4,65.1,96,82.1,98,912,75.9,32.2
Gujarat,Arvalli,"Calendar Year (Jan - Dec), 2019",77.3,68.7,77,86.9,47.1,47.9,92.2,56.3,96.5,996,71.9,34.7
Gujarat,Banas Kantha,"Calendar Year (Jan - Dec), 2019",60,42.6,43.5,66.5,39,45.6,92.9,53.9,91.1,1007,63.7,17.6
Gujarat,Bharuch,"Calendar Year (Jan - Dec), 2019",71.8,36.2,80,92.1,40.9,60.2,91.1,77.7,98.2,960,74,31.5
Gujarat,Bhavnagar,"Calendar Year (Jan - Dec), 2019",49.4,45.7,74.3,94,32.6,59.8,94.2,72.9,96.9,942,74.2,26.3
Gujarat,Botad,"Calendar Year (Jan - Dec), 2019",58.8,49.3,65.1,77.6,32.2,63,93.5,72,99.3,975,71.8,22
Gujarat,Chhotaudepur,"Calendar Year (Jan - Dec), 2019",78.9,77.5,81.7,80.1,48.6,25.7,85.7,53,95.3,1016,53.2,20.3
Gujarat,Dang,"Calendar Year (Jan - Dec), 2019",77.2,79.8,91.3,96.2,37.6,23.4,74.5,71.7,95.9,1023,68.9,20.7
Gujarat,Devbhumi Dwarka,"Calendar Year (Jan - Dec), 2019",48.8,47.7,73.3,77,30.2,61.2,94.8,73.4,98.7,1010,66.1,15.8
Gujarat,Dohad,"Calendar Year (Jan - Dec), 2019",75.1,70.8,66.2,74.8,55.3,26.8,92.5,35.9,89.3,1047,56.1,23.1
Gujarat,Gandhinagar,"Calendar Year (Jan - Dec), 2019",68.8,49.3,77.7,95.2,38.1,76.9,97.8,84.6,97.8,924,81.8,37.9
Gujarat,Gir Somnath,"Calendar Year (Jan - Dec), 2019",49.9,57.8,69.9,93.5,44.4,46.8,87.1,74.3,99.5,981,73.1,30.8
Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2019",50.2,85.2,78.4,80,28.4,81.6,96.5,86.6,98.9,1004,83.1,35.3
Gujarat,Junagadh,"Calendar Year (Jan - Dec), 2019",58.8,48,93.5,93.4,37.3,67.2,97.4,81.7,99.3,999,82.8,35
Gujarat,Kachchh,"Calendar Year (Jan - Dec), 2019",57.5,76.5,70.2,75.3,37.5,67.2,97.4,85.8,99.2,979,75.6,24.1
Gujarat,Kheda,"Calendar Year (Jan - Dec), 2019",76.1,29.8,69,84.9,37.3,48,95.2,63.3,96.9,934,70.9,24.2
Gujarat,Mahesana,"Calendar Year (Jan - Dec), 2019",69.3,46.3,79.6,91.1,31,63.1,97.3,72.1,97.7,913,75.1,32.6
Gujarat,Mahisagar,"Calendar Year (Jan - Dec), 2019",72.5,73.3,80,83.4,43.4,47.4,93,44.4,95.2,993,70.9,33.9
Gujarat,Morbi,"Calendar Year (Jan - Dec), 2019",50.7,73.3,64.2,73.5,32.9,73.6,94.8,80.1,99.9,981,82.4,35.4
Gujarat,Narmada,"Calendar Year (Jan - Dec), 2019",75.9,80.2,82.8,93.8,47.2,31.3,81.7,54.6,92.7,1006,67.3,22.6
Gujarat,Navsari,"Calendar Year (Jan - Dec), 2019",68.7,78.2,95,95.5,36.8,70.2,99.3,80.1,98.7,1056,84.1,47.7
Gujarat,Panch Mahals,"Calendar Year (Jan - Dec), 2019",69.8,71.4,95.4,95.4,47.1,43.6,88.4,58.9,95.5,969,71.7,28.4
Gujarat,Patan,"Calendar Year (Jan - Dec), 2019",59.8,65.6,81,91.9,50.5,62.6,98.6,73.1,98.3,967,71.1,22.6
Gujarat,Porbandar,"Calendar Year (Jan - Dec), 2019",47.6,75.5,82.9,82.2,18.2,76.9,100,85.7,99.8,1000,84.3,35.9
Gujarat,Rajkot,"Calendar Year (Jan - Dec), 2019",60.5,78.8,84.9,85.6,38.9,83.6,99.3,85.4,99.6,975,84.7,42.6
Gujarat,Sabar Kantha,"Calendar Year (Jan - Dec), 2019",67.3,66.4,88.5,89.7,37,58.7,89.4,61,95.3,987,74.5,31.1
Gujarat,Surat,"Calendar Year (Jan - Dec), 2019",69,78.7,92.8,92.8,36.1,88.6,97.7,82,99.3,912,84.2,44
Gujarat,Surendranagar,"Calendar Year (Jan - Dec), 2019",55.6,76,62.5,68.4,39.2,56.9,85.6,63.8,99.4,957,75.1,23.3
Gujarat,Tapi,"Calendar Year (Jan - Dec), 2019",77.4,83.1,97.5,95,41.7,45.5,92.9,70.2,97.6,1076,72,32.5
Gujarat,Vadodara,"Calendar Year (Jan - Dec), 2019",72.3,58.5,84.9,90.8,42.3,78.1,95.9,85.6,97.3,953,84.6,46.4
Gujarat,Valsad,"Calendar Year (Jan - Dec), 2019",75.7,76.1,91.1,92.5,37.8,73.1,96.5,85.3,98.6,1009,82.9,45.6
Haryana,Ambala,"Calendar Year (Jan - Dec), 2019",46.1,69.5,79.3,86.9,24.1,81.6,97.8,87.2,99.6,930,85,55.3
Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2019",66.4,72,72.5,80.4,29,36.6,97.7,89.7,100,985,78.8,47
Haryana,Charki Dadri,"Calendar Year (Jan - Dec), 2019",72.6,69.4,84.2,89.3,23.9,36.2,98.9,90.4,99.5,964,83.6,54.5
Haryana,Faridabad,"Calendar Year (Jan - Dec), 2019",54.2,77.5,69.5,73.2,28.9,89.3,92.5,84.2,100,890,82.3,55.6
Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2019",62.3,75.8,90.7,96.7,24.6,43.7,97.9,87.3,99.8,908,71.1,41.5
Haryana,Gurugram,"Calendar Year (Jan - Dec), 2019",67.5,70.3,58.7,80.1,22.1,81,96.7,84.5,99.4,871,85.4,59.6
Haryana,Hisar,"Calendar Year (Jan - Dec), 2019",63.8,74.4,85.5,90.6,27.8,44.8,98.2,89.1,99.7,939,77.7,43.9
Haryana,Jhajjar,"Calendar Year (Jan - Dec), 2019",60.1,80.2,90.9,84.1,15.6,55.9,97.2,91.7,99.8,982,88.2,62.7
Haryana,Jind,"Calendar Year (Jan - Dec), 2019",59.6,79.2,77.5,83.3,25.5,42.1,98.7,88.5,100,977,81.3,45.3
Haryana,Kaithal,"Calendar Year (Jan - Dec), 2019",61.5,76.5,74.3,86.3,29.9,55.9,98.2,89.7,100,929,70.9,45.9
Haryana,Karnal,"Calendar Year (Jan - Dec), 2019",61.9,79.1,88.9,84.6,29.2,74.1,99,83.5,99.2,970,84,46.8
Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2019",57.1,68.4,69.8,72.1,24.9,77.6,98.4,82.6,99.6,941,83,48.4
Haryana,Mahendragarh,"Calendar Year (Jan - Dec), 2019",61.2,70.2,73.9,70.1,25.2,34.2,98.9,79.8,99.6,936,81.1,52.4
Haryana,Nuh,"Calendar Year (Jan - Dec), 2019",60.6,37.8,53.8,63.5,44.4,22,74.6,71.7,98.6,914,41.9,13.9
Haryana,Palwal,"Calendar Year (Jan - Dec), 2019",57.2,71.2,69,74.4,31,34.6,78.3,80.3,98.9,943,68.3,39.4
Haryana,Panchkula,"Calendar Year (Jan - Dec), 2019",57.1,76.6,85.1,92.6,21.8,81.1,97,82.6,99.5,936,84.9,60.3
Haryana,Panipat,"Calendar Year (Jan - Dec), 2019",66.9,70.1,80.6,79.4,25.1,73,97.1,79.3,99.6,917,83.8,52.1
Haryana,Rewari,"Calendar Year (Jan - Dec), 2019",61.8,70.6,79.3,83.6,25.9,54.9,98.7,86.4,100,885,86,58.7
Haryana,Rohtak,"Calendar Year (Jan - Dec), 2019",65.3,74.4,77.4,88.1,28.9,67.3,97.4,90,99.7,942,85.8,55.9
Haryana,Sirsa,"Calendar Year (Jan - Dec), 2019",61.9,74,,,25,38.8,99.3,81.9,99.9,909,70.6,44.7
Haryana,Sonipat,"Calendar Year (Jan - Dec), 2019",53.3,78.7,83,77.4,23.6,69.9,99.7,86.7,99.3,844,87.3,56.8
Haryana,Yamunanagar,"Calendar Year (Jan - Dec), 2019",56.6,79.1,82.9,85.6,27.7,77.7,94.8,83.5,99.8,923,85.8,51.2
Himachal Pradesh,Bilaspur,"Calendar Year (Jan - Dec), 2019",53,80.8,100,100,40.1,35.8,91.7,80.8,100,1096,91.2,64.2
Himachal Pradesh,Chamba,"Calendar Year (Jan - Dec), 2019",43.7,81.8,100,100,42.6,35,72,86.5,99.1,1073,84.1,50.9
Himachal Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2019",49.5,57.7,74.3,100,27.3,44.7,97.6,85.5,99.7,1182,94.8,76.1
Himachal Pradesh,Kangra,"Calendar Year (Jan - Dec), 2019",63.4,59.1,83.9,92,28,49.1,90.2,73.3,99.7,1051,94.4,69.9
Himachal Pradesh,Kinnaur,"Calendar Year (Jan - Dec), 2019",51.7,83.4,91.7,91.7,32.2,70.4,82.7,80.1,99.6,967,89.1,56.1
Himachal Pradesh,Kullu,"Calendar Year (Jan - Dec), 2019",52.8,78.3,80.2,95,35.9,65,87,81.2,99.2,1008,87.4,54.4
Himachal Pradesh,Lahul And Spiti,"Calendar Year (Jan - Dec), 2019",82.1,78.5,77.9,100,28.5,71.7,86.4,61.7,99.8,1077,86.2,55.9
Himachal Pradesh,Mandi,"Calendar Year (Jan - Dec), 2019",48.9,81.4,94.1,98,31.3,38.6,86.6,87,99.5,1159,94,71.8
Himachal Pradesh,Shimla,"Calendar Year (Jan - Dec), 2019",46.5,89.1,96.5,98.2,27.1,78,92.2,87.3,100,956,93.4,69.7
Himachal Pradesh,Sirmaur,"Calendar Year (Jan - Dec), 2019",50.1,86.9,93.9,93.7,28.6,46.8,87.4,84.3,99.2,923,84.9,55.6
Himachal Pradesh,Solan,"Calendar Year (Jan - Dec), 2019",47.5,84.6,92.6,100,32.3,62.5,90.2,81.8,99.2,947,91,62.3
Himachal Pradesh,Una,"Calendar Year (Jan - Dec), 2019",60.8,53.3,75.3,93.8,24.7,46.2,89.7,81.4,98.5,1026,92.5,66.8
Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2019",74.3,58.3,83.3,100,28.2,76.5,90.5,84.7,98.7,974,74.7,52.8
Jammu And Kashmir,Bandipora,"Calendar Year (Jan - Dec), 2019",73.7,41.4,90.3,92.1,25.2,77.9,92.8,66.8,99,970,66.6,35.9
Jammu And Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2019",72.5,31.1,73.7,98.2,23.2,76.5,96.2,77.7,98.7,955,67.9,35.9
Jammu And Kashmir,Budgam,"Calendar Year (Jan - Dec), 2019",73.9,59.9,92.5,95.5,26.8,71.1,96.5,77,99.5,937,74.1,48.2
Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2019",66.5,69.5,61.7,75.3,32.7,42.4,73.5,70.9,99.6,943,69.2,46.8
Jammu And Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2019",77.2,34.4,81.2,88.1,18.5,84.4,98,78.4,99.5,931,64,34.3
Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2019",66.6,67.9,84.1,100,27,87.9,96.5,81.2,100,939,91.5,70.8
Jammu And Kashmir,Kathua,"Calendar Year (Jan - Dec), 2019",53.6,74.9,100,100,21.8,68.5,97.1,75.4,99.7,894,87.7,64.9
Jammu And Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2019",84.8,52.5,91.6,100,27.5,50.6,91.6,59.6,88.8,978,71.3,48
Jammu And Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2019",77,70.8,98.1,98,28.4,40.3,98.9,80.5,99.8,962,70.9,42.4
Jammu And Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2019",73.5,64.5,93.2,100,24.9,62,97.1,67.7,99.3,987,76,44.9
Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2019",54.1,58.8,91.2,92.1,25.9,44.6,86,66.7,99.7,946,79.3,46.8
Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2019",73.2,61.8,88.8,94,22.4,76.6,97.8,91.6,99.1,953,76.6,49.4
Jammu And Kashmir,Rajouri,"Calendar Year (Jan - Dec), 2019",60.6,65.9,95,98.1,30.3,42.8,88.8,63.3,100,901,79.4,46.4
Jammu And Kashmir,Ramban,"Calendar Year (Jan - Dec), 2019",59.7,56.5,78.9,93.7,25.7,35.8,80.4,48.9,97.4,915,62.2,35.5
Jammu And Kashmir,Reasi,"Calendar Year (Jan - Dec), 2019",62.9,56.9,79.1,86.6,17.7,35.2,69.3,62.7,99.9,967,68.2,41.9
Jammu And Kashmir,Samba,"Calendar Year (Jan - Dec), 2019",62.4,62.8,90.9,97.8,24.5,73,97.9,78.8,99.8,960,84.8,60.6
Jammu And Kashmir,Shopian,"Calendar Year (Jan - Dec), 2019",63.9,60.8,92.2,100,22,66.1,98.3,86.5,99.9,958,80.8,55.2
Jammu And Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2019",51.7,56.5,90.9,100,33,98.4,99.2,86.8,100,972,78.4,60.5
Jammu And Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2019",56.5,69.7,85.8,97.7,37.3,55.1,87.2,69.8,99.9,946,77.3,43.7
Jharkhand,Bokaro,"Calendar Year (Jan - Dec), 2019",68.8,68.5,71,72.9,36.2,47,80.9,64.4,97.3,1006,69.2,45
Jharkhand,Chatra,"Calendar Year (Jan - Dec), 2019",56,59.5,71.7,82.4,42.2,20.4,71.5,48.1,92.1,1136,57.7,27.7
Jharkhand,Deoghar,"Calendar Year (Jan - Dec), 2019",70.2,65.4,54.5,54.7,41.7,23.5,61.3,41.6,95.6,1068,50.7,19.7
Jharkhand,Dhanbad,"Calendar Year (Jan - Dec), 2019",63.8,67.3,66.1,72.5,27,37.2,78.8,67.6,98.5,986,69.7,37.9
Jharkhand,Dumka,"Calendar Year (Jan - Dec), 2019",73.4,60,78.9,76.6,38.2,18.1,60.3,41.5,93.2,1067,51.8,19.1
Jharkhand,East Singhbum,"Calendar Year (Jan - Dec), 2019",64.4,61,88.8,87,35.9,57.6,94,70.2,95.7,1016,73.8,46.8
Jharkhand,Garhwa,"Calendar Year (Jan - Dec), 2019",62.7,58.3,77.2,82.9,47.7,24.7,84,54.1,85,1108,59.6,31
Jharkhand,Giridih,"Calendar Year (Jan - Dec), 2019",64.7,63.7,70.6,83.6,31.9,32.4,70.7,59.2,96.5,1091,53.4,25
Jharkhand,Godda,"Calendar Year (Jan - Dec), 2019",66.3,65,63.9,71,39.4,19.7,70.2,54.9,93.5,1012,46.6,19.6
Jharkhand,Gumla,"Calendar Year (Jan - Dec), 2019",59.5,52.7,85.3,86.2,40.2,19.1,83.8,50.1,89.1,1024,63.7,33.3
Jharkhand,Hazaribagh,"Calendar Year (Jan - Dec), 2019",56.1,60.8,70.1,80.5,37.8,36.8,82,55.6,98.2,1083,67.2,40.1
Jharkhand,Jamtara,"Calendar Year (Jan - Dec), 2019",77.7,69.3,78.8,82.9,41.9,20.3,75.4,52.8,92.2,996,53.5,21.4
Jharkhand,Khunti,"Calendar Year (Jan - Dec), 2019",70,58.4,71.9,79.6,38.5,18.7,73.8,55.2,92.9,992,55.3,29.3
Jharkhand,Koderma,"Calendar Year (Jan - Dec), 2019",64.9,63.6,73.8,87.4,34.6,35.8,91.3,54,97.1,1141,63.6,31.8
Jharkhand,Latehar,"Calendar Year (Jan - Dec), 2019",63.6,56.6,75,74.5,40.1,14.2,70.3,51.4,89,1115,54.9,26.5
Jharkhand,Lohardaga,"Calendar Year (Jan - Dec), 2019",61.7,56.6,88.2,88.2,40.7,34,84.1,67.7,99.2,1052,65.2,35
Jharkhand,Pakur,"Calendar Year (Jan - Dec), 2019",79.7,55.4,69.4,69.5,51.3,16.9,64.6,38.3,91.7,1074,41.4,13.6
Jharkhand,Palamu,"Calendar Year (Jan - Dec), 2019",61,60.1,80.9,81.5,43.7,25.4,74.9,46.3,95.8,1183,62.5,36.5
Jharkhand,Ramgarh,"Calendar Year (Jan - Dec), 2019",62.3,68.2,81.8,89.2,35.3,33.2,79,64.2,98.4,955,71,44.3
Jharkhand,Ranchi,"Calendar Year (Jan - Dec), 2019",58.9,61.5,73.8,85.4,28.3,57.7,87.3,77.2,99.3,1004,76,49.5
Jharkhand,Sahebganj,"Calendar Year (Jan - Dec), 2019",71.5,50.4,66,72.6,49.1,17.4,64.7,43.2,91.6,1092,48.8,18.6
Jharkhand,Saraikela Kharsawan,"Calendar Year (Jan - Dec), 2019",70.2,66.9,80.9,85.3,40,31.5,81.8,60.9,93.5,996,64,36
Jharkhand,Simdega,"Calendar Year (Jan - Dec), 2019",70.6,48.5,79.3,81.1,42.2,15.9,75.7,71.3,84.1,1064,66.4,29.7
Jharkhand,West Singhbhum,"Calendar Year (Jan - Dec), 2019",72.6,55.9,87,89,60.6,15.5,67.9,37.7,83.3,1049,47.8,22.9
Karnataka,Bagalkote,"Calendar Year (Jan - Dec), 2019",48,65.3,78.6,79.5,48.3,56.6,95.2,51.3,98.9,1007,69.7,37.7
Karnataka,Ballari,"Calendar Year (Jan - Dec), 2019",58.1,62.7,71.5,79.2,36.1,76.2,95.7,64.1,98.9,1038,64.4,39.9
Karnataka,Belagavi,"Calendar Year (Jan - Dec), 2019",52.9,70.8,81.4,86.5,32.8,74.8,97.5,67.7,99.1,1032,74,47.8
Karnataka,Bengaluru Rural,"Calendar Year (Jan - Dec), 2019",44.2,77.5,92.7,92.5,36.6,93.6,100,88.8,99.2,986,83.8,56.3
Karnataka,Bengaluru Urban,"Calendar Year (Jan - Dec), 2019",35.5,73.2,78.2,88.4,31.3,97.2,99.3,90.4,98.8,1006,87.3,70.1
Karnataka,Bidar,"Calendar Year (Jan - Dec), 2019",55.9,69.1,74.8,77.7,36.8,65.2,99,56.5,98.8,1034,73.8,45
Karnataka,Chamarajanagara,"Calendar Year (Jan - Dec), 2019",46.3,79.8,93.3,90.8,32.2,89,100,75.2,98.7,1037,72.4,41.7
Karnataka,Chikkaballapura,"Calendar Year (Jan - Dec), 2019",45.5,77.8,76.6,79.5,31.3,89.4,99,84.9,99.9,1067,76.3,48
Karnataka,Chikkamagaluru,"Calendar Year (Jan - Dec), 2019",40.8,79.7,91,93.4,27.3,79,98.4,92.3,99.3,1041,82.9,48.3
Karnataka,Chitradurga,"Calendar Year (Jan - Dec), 2019",44.6,72.8,94.6,97.2,36,80.6,98.3,63.1,99.8,1023,75.6,48.3
Karnataka,Dakshina Kannada,"Calendar Year (Jan - Dec), 2019",38.8,61.9,86.8,93.9,25.1,82,100,97.1,99.8,1063,92.7,62.8
Karnataka,Davangere,"Calendar Year (Jan - Dec), 2019",51.7,47.1,79.4,83.5,38.4,79.1,98.3,83.3,98.8,967,76,47.1
Karnataka,Dharwad,"Calendar Year (Jan - Dec), 2019",52.1,67.1,87.6,93.6,45.2,79.1,99.7,79.3,99.4,1022,81.8,51.4
Karnataka,Gadag,"Calendar Year (Jan - Dec), 2019",50.5,58.3,74.3,81.4,45.2,56.3,96.2,55.2,98.6,1060,70.7,45.1
Karnataka,Hassan,"Calendar Year (Jan - Dec), 2019",42.2,78.1,96.8,94.3,27.1,86.1,100,87.9,99.3,1102,82,51.3
Karnataka,Haveri,"Calendar Year (Jan - Dec), 2019",50.8,44.6,95.7,93.4,29.9,60.7,97.2,68.9,99.1,978,71.5,40
Karnataka,Kalaburagi,"Calendar Year (Jan - Dec), 2019",56,53,75.3,86.3,34.5,58.5,88.7,36.5,99.4,1023,68.2,42
